user_id,recency,frequency,monetary,avg_order_value,Cluster,agg_cluster
"AE22Y3KIS7SE6LI3HE2VS6WWPU4Q,AHWEYO2IJ5I5GDWZAHJK6NGYHFMA,AGYURQ3476BNT4D2O46THXEUY3SA,AFPMBSBIEX45OQ6UCQWPDG55GWLQ,AGWJU3WUQBDQYPSYAJSR3AKBLCOA,AEOVUNFCIFV223O536GVW5JHZKOA",1260,1,239.0,239.0,0,0
"AE23RS3W7GZO7LHYKJU6KSKVM4MQ,AEQUNEY6GQOTEGUMS6KRUEYNXJSQ,AGYPIE5BICV44WEEEPJVEFQOCJSQ,AFR7CEQKWZE53IHHOWBIPAMYKL4Q,AGBV7FBP4SEITF6UKRFKTV7O32IA,AHQVOY54QKPIQZIJ57JKCGQPVV3Q,AEMCVRRD3XQRGFHC2VFCXHJEMESQ,AFBWXU7DUWCIK5MRDCLBXWTWN7ZQ",417,1,1999.0,1999.0,1,1
AE242TR3GQ6TYC6W4SJ5UYYKBTYQ,1307,1,399.0,399.0,0,0
"AE2QS54KQW357EMHTCIX34UBB2TA,AFGABX3WXI4C644LQXZZG4Z7NYKA,AE6DLJW3TAZT627XBMBJGGCWYBPA,AFNKLWWSK4BYFNHQNBGNO7QDZXUA,AGC5MKCR2T6INKQSLXKV3QQW2KDA,AEZVK7KOH6QDSNG6ZX6VKI3AC4VQ,AEPTTSPMISL3YSYYY4T2U2DI4ICA,AGD63SACQVHFRKSUCH5VYUZSJEBA",597,1,1099.0,1099.0,0,0
"AE2TSJXRS5BXE6X7WFS7HOFJKCOQ,AEQTFT2S7RDVYEGOX5RBADQ4VY2Q,AHPCHA3K3ZQDEKCNSZJ56BD4HY2A,AH75O6CQEPN6J3Q6VH4WIVD4HZUA,AHNK4EL2BOSS6WRMONWHNWAF5KRA,AERG3U7VI5YCANZA73XOR6KT2SZA,AHAN5RDTJMGOCIYJZKWO2SJFOB3Q,AGHS26EBVZK3HDJBO26J7C5HYCSQ",678,1,230.0,230.0,0,0
"AE2XBDOYDMXVHS6NWFKR363SXNEQ,AFEWNQ3WHCXFV334RKDY6TQV5F2A,AFYHSM4NZORPAYX4P6XIV3OPZE7Q,AGGJTBH2YKIJVXXHKKLZGI7BDCMA,AGZQ2GV6RFFSGSEEGZCEA55XSYKQ,AF6RMANVDWWGUPHGAQGEI523WDTA,AHUDYFZ2QJF2XQNTH6OYYHJIDGHA,AEOJR4XRHE3AQOTMVVOIESTP34IQ",573,1,999.0,999.0,0,0
"AE2XMB6CEF4SCPYQI75GHNYEAXIA,AGGZZQ5IGA5QAIGYO5NZ6PVT3D7Q,AE6DVWUAWPSVBSLLUQYNPPSQQAJA,AGY5QPHPBISAP2NWFXQM6IUE2FSA,AGFVUN4637QP6LIOV5R4RLQWPRAQ,AGFVDEDXE3HZWF4WGRUEPMDEGISA,AGLQGHCAPA45C7LFUS257GLOBJIQ,AHHZDQ4MJ63XTHK5UTCXGFSPQNTA",477,1,598.0,598.0,0,0
"AE35OI7LDTOKU32IFQ3GQX5AOKFQ,AHT5CRFFKABTHYW4ECKZTQFY46NA,AEXIV3RFI5NFISHPIOIRBFCEMKUQ,AE4ADCFGK4BPHVK426KLAGJIECTA,AHGC4ISYSAWYL3CB4IONRS7WO2AQ,AHQQYHFW6CVRWYWGJ53LNZKKCSZQ,AEJOCAMBYG2VFPAYA67LRSSAMDBQ,AHESOERCB5FRKL7BYJ6QQHK4BMJQ",749,1,448.0,448.0,0,0
"AE376Y5V3WTFCERMS7ZVYUZCFNUQ,AF5GSV6GVHTLGBTN2NIS23BQN7HA,AEQ57W6KFWU72BECDAK5CJ3OML5Q,AEZLUYRORWZXFHOSF2KN4GKOOATQ,AGNLOWKPE2OQVARLP6ZDG5ZHQQUQ,AFQBZXNFOTEDURZEUQ4GBITKZ7CQ,AFQZ4Z5IE2BDZPQJ7OBQS6FXMWZQ,AFY2KVXOARKAYSSSHYAZXMKB7ZKA",622,1,469.0,469.0,0,0
"AE3DRCI3U5PRSINPY2TZAU6JEWBA,AEOSTNYHDXDWBNGEZYE6BPMPR7LA,AHJRAOGQG47ABVMM5ZQ7FF3XOPKA,AEWWWALRID3B4CQQK7PMSARCRM7Q,AE4UXKJGBAZWE6WR5DADPJBGVHTQ,AH73D5XHOYMI7FCB6QBV4C77OC2Q,AFQO3JM6M3SWDHFLMQIEWSUOKY7Q,AFASOASLRV4MRGUQHM2OPYFYRHPQ",362,1,499.0,499.0,0,0
"AE3GJ4N2G2K4Q6JXYPIQSH4344CQ,AFJMCZWWZZF4HZYT5QLSXG4AKOTQ,AGGORGEJT3XXWXUJNZJNW2L6UZAQ,AENODPH3RWTEZMADDI7ZXXD5UBLQ,AEJQ7NWZITDPI44AMIPQPK7DQLCQ,AGJRVDXBXRIIRR3G7HCF5CR6XDSA,AGU4IMQTKDZTL6IFTDNG3D5CQO6A,AGKXGJ5QRZFNVZ3MKY7PHAOMT5LA",810,1,199.0,199.0,0,0
